galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
3000066000000,3000066000965,-1,3000066000000,63000300000576,63000300000576,3000066000000,3000066000001,-1,0,63,0.0,1122.3824,14251,34.57621,29.170664,8.069867,44171,3,3,0,79.14558,-110.77152,303.24155,16170,1122.3824,0.36410508,364.10532,396.45386,0.059363134,20.650772,20.650772,161.08865,0.0,0.06309857,9.2314114E-4,0.27517638,0.27517638,1.0658462,0.0,7.1789155,7.1789155,0.0,0.0680433,0.053931165,-22.076744,-22.722412,-23.371979,-23.966278,-25.503803,-22.076744,-22.722412,-23.371979,-23.966278,-25.503803,-22.076744,-22.722412,-23.371979,-23.966278,-25.503803,10.76871,349
3000066000001,3000066000600,3000066000000,3000066000001,62000300000577,62000300000577,3000066000000,3000066000002,3000066000601,0,62,0.019932542,1113.0873,14251,34.559666,29.191162,8.007239,44171,3,3,0,81.14348,-113.61552,304.16275,16316,1113.0873,0.36127004,364.01443,397.3344,0.36715308,11.495598,11.471034,158.80621,0.0,0.029075773,0.0051514376,0.16351983,0.16314667,1.0535696,0.0,0.0,0.0,0.0,0.07123486,0.053613484,-20.922617,-21.827312,-22.564053,-23.203348,-24.792953,-20.89776,-21.809935,-22.550198,-23.191814,-24.783524,-20.922583,-21.827293,-22.56404,-23.20334,-24.792952,10.506015,411
3000066000002,3000066000600,3000066000001,3000066000002,61000300000564,61000300000564,3000066000000,3000066000003,-1,0,61,0.041403063,1104.4807,14251,34.537857,29.213385,7.941411,44171,3,3,0,81.95798,-114.60787,305.80627,16471,1104.4807,0.35833514,364.0863,390.65286,0.36715308,11.495598,11.471034,157.42197,0.0,0.029039893,0.0051514376,0.16351983,0.16314667,1.0529128,0.0,0.22874957,3.893596E-8,0.0,0.07150691,0.053478885,-20.966444,-21.861454,-22.593752,-23.229893,-24.815397,-20.92825,-21.837744,-22.576094,-23.215763,-24.804554,-20.966393,-21.861427,-22.593737,-23.229883,-24.815395,10.230166,269
3000066000003,3000066000566,3000066000002,3000066000003,60000300000550,60000300000550,3000066000000,3000066000004,3000066000567,0,60,0.064493395,1097.3373,14251,34.529793,29.249065,7.8610682,44171,3,3,0,82.06558,-116.6425,305.02518,16761,1097.3373,0.35537124,364.41724,393.67545,0.34624326,11.482023,11.460199,156.14897,0.0,0.028970586,0.004964477,0.16344701,0.16311127,1.0519406,0.0,0.51501334,6.9628045E-6,0.0,0.070689306,0.053301364,-21.010668,-21.894634,-22.622429,-23.255472,-24.836943,-20.959036,-21.865503,-22.601727,-23.239275,-24.824951,-21.010601,-21.894604,-22.622412,-23.255463,-24.83694,9.944413,777
3000066000004,3000066000532,3000066000003,3000066000004,59000300000558,59000300000558,3000066000000,3000066000005,3000066000533,0,59,0.08928783,1131.4193,13908,34.506268,29.257767,7.800594,42415,3,3,0,82.70081,-117.58955,306.15964,16609,1131.4193,0.3565916,369.3994,403.98843,0.27039883,11.429494,11.414084,161.81808,0.0,0.028823866,0.0041291076,0.16317774,0.16292836,1.049927,0.0,0.0,0.0,0.0,0.072516814,0.0523368,-21.009226,-21.904547,-22.6349,-23.268156,-24.849016,-20.987684,-21.890657,-22.624437,-23.259773,-24.842533,-21.009201,-21.904535,-22.634892,-23.268152,-24.849016,9.652985,832
3000066000005,3000066000532,3000066000004,3000066000005,58000300000524,58000300000524,3000066000000,3000066000006,-1,0,58,0.11588337,1163.78,13909,34.506203,29.313326,7.705178,42429,3,3,0,84.54249,-118.80806,303.1832,16447,1163.78,0.35728815,374.27954,395.5122,0.27039883,11.429494,11.414084,167.811,0.0,0.02877938,0.0041291076,0.16317774,0.16292836,1.0466603,0.0,0.51040936,3.2027393E-7,0.0,0.06994098,0.051532652,-21.06815,-21.947578,-22.67122,-23.299938,-24.874987,-21.02538,-21.92405,-22.65498,-23.287611,-24.866562,-21.0681,-21.947556,-22.67121,-23.29993,-24.874985,9.342729,174
3000066000006,3000066000462,3000066000005,3000066000006,57000300000506,57000300000506,3000066000000,3000066000007,3000066000463,0,57,0.14438343,1237.6244,13909,34.461395,29.30471,7.6472473,42429,3,3,0,85.13174,-120.924675,304.4984,16037,1237.6244,0.36171547,383.602,385.72845,0.2405083,11.271699,11.263099,180.29887,0.0,0.028623207,0.0034607681,0.16172509,0.16157964,1.0447932,0.0,0.43930492,1.7384604E-4,0.0,0.06944217,0.050314065,-21.078684,-21.960377,-22.683668,-23.311077,-24.884367,-21.051857,-21.946077,-22.673979,-23.303778,-24.879324,-21.07866,-21.960365,-22.68366,-23.311073,-24.884367,9.021649,298
3000066000007,3000066000384,3000066000006,3000066000007,56000300000521,56000300000521,3000066000000,3000066000008,3000066000385,0,56,0.17489761,1266.4563,13909,34.47939,29.413855,7.524234,42429,3,3,0,80.23152,-133.14078,307.7121,14715,1266.4563,0.3612372,388.3013,383.91812,0.15553567,11.1395855,11.137019,187.12509,0.0,0.028402314,0.0029392496,0.16068676,0.1606385,1.0107683,0.0,0.0,0.0,0.0,0.06881223,0.049448982,-21.088453,-21.975533,-22.699036,-23.325155,-24.896523,-21.084206,-21.972929,-22.697136,-23.323656,-24.895388,-21.08845,-21.97553,-22.699036,-23.325155,-24.896523,8.687199,464
3000066000008,3000066000384,3000066000007,3000066000008,55000300000496,55000300000496,3000066000000,3000066000009,-1,0,55,0.20754863,1278.3334,13909,34.465874,29.469315,7.434031,42429,3,3,0,86.730415,-128.90997,305.9612,14234,1278.3334,0.35880134,391.43982,398.92117,0.15553567,11.1395855,11.137019,189.17004,0.0,0.028343352,0.0029392496,0.16068676,0.1606385,1.0096598,0.0,0.093921,2.8925209E-7,0.0,0.066643886,0.04885324,-21.14923,-22.02427,-22.741426,-23.36221,-24.926796,-21.137949,-22.018562,-22.737635,-23.359406,-24.925076,-21.149218,-22.024263,-22.741423,-23.362207,-24.926796,8.348044,861
3000066000009,3000066000355,3000066000008,3000066000009,54000300000529,54000300000529,3000066000000,3000066000010,3000066000356,0,54,0.24246909,1258.5383,13909,34.337547,29.348463,7.358916,42429,3,3,0,83.259575,-141.94444,319.72693,13667,1258.5383,0.35309485,391.5232,416.30252,0.1314591,11.111732,11.110522,186.24481,0.0,0.028207697,0.002582732,0.16053197,0.16050877,1.0080225,0.0,0.08195904,2.919724E-7,0.0,0.06460149,0.048552006,-21.212282,-22.077435,-22.788378,-23.403736,-24.96405,-21.204973,-22.073858,-22.786034,-23.40202,-24.963062,-21.212275,-22.077433,-22.788376,-23.403736,-24.96405,8.000828,501
