galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
98000000,98000121,-1,98000000,63000000000538,63000000000538,98000000,98000001,-1,0,63,0.0,105.34438,1473,31.06724,0.18536568,20.27837,21321,3,0,2,267.6251,-72.675125,429.03693,1403,105.34438,0.16546911,165.46921,205.91122,1.1578176,6.8769097,2.6731822,7.748667,1.6149042,0.001445545,0.032025892,0.13471486,0.038835257,0.15901093,0.033301022,4.959222,0.0,43.943783,0.009084842,0.10420671,-21.385439,-21.967337,-22.575266,-23.15288,-24.720968,-19.317192,-20.232557,-20.974894,-21.619038,-23.218933,-20.656797,-21.420776,-22.14004,-22.826864,-24.614084,8.222089,646
98000001,98000121,98000000,98000001,62000000000529,62000000000529,98000000,98000002,-1,0,62,0.019932542,104.225525,1473,31.014748,0.20153518,20.195074,21321,3,0,2,268.73758,-72.25853,430.95468,1402,104.225525,0.16405152,165.29773,208.25656,1.1506414,6.82255,2.6731822,7.621071,1.617231,0.0014446998,0.031743277,0.13321918,0.038835257,0.15787838,0.033350863,3.8769143,0.0,43.94473,0.0104089435,0.10401601,-21.325308,-21.93829,-22.556614,-23.13833,-24.714209,-19.345842,-20.258629,-20.999199,-21.641582,-23.238615,-20.736887,-21.502832,-22.212502,-22.881977,-24.62942,8.023128,581
98000002,98000121,98000001,98000002,61000000000544,61000000000544,98000000,98000003,-1,0,61,0.041403063,102.15995,1473,30.959063,0.21793379,20.106226,21321,3,0,2,269.8406,-70.15853,431.3239,1388,102.15995,0.16205542,164.65637,209.81978,1.0540227,6.7780495,2.6731822,7.373916,1.6580521,0.0014438308,0.029498998,0.13198824,0.038835257,0.15822728,0.034135066,4.196941,0.0,43.94765,0.009024912,0.104754254,-21.377968,-21.977861,-22.589233,-23.167065,-24.738651,-19.376583,-20.286503,-21.02513,-21.665577,-23.259447,-20.72722,-21.485918,-22.197382,-22.874395,-24.642994,7.7990475,38
98000003,98000121,98000002,98000003,60000000000532,60000000000532,98000000,98000004,-1,0,60,0.064493395,103.02061,1473,30.897276,0.22899011,20.014917,21321,3,0,2,272.77994,-70.87617,430.52103,1338,103.02061,0.16151403,165.62538,208.38206,0.9594071,6.72778,2.6731822,7.635407,1.6914884,0.0014429148,0.027378859,0.1305794,0.038835257,0.15850954,0.034736108,5.906859,0.0,43.972084,0.00680749,0.10383246,-21.482048,-22.045948,-22.643423,-23.215427,-24.778643,-19.409359,-20.316093,-21.052567,-21.690853,-23.281147,-20.550892,-21.332695,-22.064829,-22.77083,-24.622358,7.5684266,799
98000004,98000121,98000003,98000004,59000000000555,59000000000555,98000000,98000005,-1,0,59,0.08928783,101.29929,1473,30.83543,0.24266887,19.913597,21321,3,0,2,271.99133,-69.12688,432.11142,1320,101.29929,0.15952623,165.25597,207.45087,1.0119531,6.6542125,2.6731822,7.385731,1.67372,0.0014419544,0.02855227,0.12850107,0.038835257,0.15599465,0.034283917,4.774381,0.0,43.9664,0.008047532,0.103386745,-21.42663,-22.018654,-22.626413,-23.202196,-24.76916,-19.444042,-20.34722,-21.08127,-21.71712,-23.303324,-20.673944,-21.447176,-22.16656,-22.852385,-24.647726,7.3511114,149
98000005,98000121,98000004,98000005,58000000000527,58000000000527,98000000,98000006,-1,0,58,0.11588337,100.094376,1473,30.76866,0.26268658,19.79926,21321,3,0,2,269.6243,-65.983025,427.0655,1305,100.094376,0.15771206,165.2123,203.73148,0.95907456,6.5925775,2.6731822,7.274676,1.6948423,0.001440973,0.027302908,0.12676556,0.038835257,0.1554272,0.03457267,5.8127327,0.0,43.974625,0.0068411,0.10320746,-21.490873,-22.064901,-22.66552,-23.238152,-24.800474,-19.480787,-20.380005,-21.111378,-21.74455,-23.326283,-20.5895,-21.371517,-22.100544,-22.80136,-24.643686,7.1081424,783
98000006,98000121,98000005,98000006,57000000000550,57000000000550,98000000,98000007,-1,0,57,0.14438343,99.14765,1473,30.687637,0.28079626,19.68442,21321,3,0,2,271.45776,-64.61847,428.28384,1283,99.14765,0.15593068,165.36568,212.44797,0.99035484,6.515038,2.6731822,7.26845,1.6777216,0.0014399536,0.02781213,0.12458706,0.038835257,0.15349028,0.034027077,5.193768,0.0,43.985764,0.007452102,0.102437295,-21.465502,-22.057009,-22.663752,-23.238062,-24.801567,-19.519876,-20.414808,-21.1433,-21.773655,-23.35077,-20.650797,-21.432861,-22.155718,-22.844795,-24.656704,6.870221,691
98000007,98000121,98000006,98000007,56000000000523,56000000000523,98000000,98000008,-1,0,56,0.17489761,99.061584,1473,30.611061,0.3000665,19.559855,21321,3,0,2,272.96732,-64.80248,429.396,1273,99.061584,0.15448898,166.06337,207.30644,0.9449538,6.4436707,2.6731822,7.361677,1.6914574,0.0014388878,0.026781242,0.12259146,0.038835257,0.1526282,0.03415951,4.883855,0.0,44.004585,0.0073129768,0.1014547,-21.478743,-22.074686,-22.680712,-23.25355,-24.814756,-19.561571,-20.451937,-21.177376,-21.804836,-23.377401,-20.679853,-21.460402,-22.179327,-22.863544,-24.667347,6.6142855,681
98000008,98000121,98000007,98000008,55000000000540,55000000000540,98000000,98000009,-1,0,55,0.20754863,97.168144,1534,30.530506,0.31555066,19.437675,21101,3,0,2,271.00964,-62.28862,427.97183,1233,97.168144,0.15198964,165.81543,206.97899,0.8580868,6.3747487,2.6731822,7.1623116,1.7299621,0.001437788,0.025162706,0.12062437,0.038835257,0.15196545,0.03478039,7.1828165,0.0,44.011665,0.005498202,0.101403326,-21.595854,-22.153412,-22.743795,-23.310728,-24.863173,-19.606178,-20.491716,-21.213945,-21.838472,-23.406828,-20.443365,-21.243027,-21.980614,-22.696293,-24.620676,6.3448434,131
98000009,98000121,98000008,98000009,54000000000479,54000000000479,98000000,98000010,-1,0,54,0.24246909,95.36076,1534,30.442774,0.338481,19.295025,21101,3,0,2,273.99954,-61.13333,431.05313,1253,95.36076,0.1494144,165.67561,211.9681,1.0049722,6.2709503,2.6731822,6.8711157,1.6763264,0.0014366836,0.028527215,0.117640756,0.038835257,0.14759266,0.033309232,5.9085402,0.0,44.00379,0.0070400247,0.10008526,-21.548475,-22.129616,-22.727753,-23.295488,-24.84683,-19.654255,-20.534773,-21.253649,-21.87523,-23.439634,-20.708572,-21.477419,-22.194544,-22.882591,-24.699484,6.0996084,721
