galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
2000425000065,2000425000100,-1,2000425000054,63000200001844,63000200001844,2000425000000,2000425000066,-1,0,63,0.0,8.348371,9881,37.435173,38.28103,22.717669,115198,4,4,2,311.73395,-227.77177,184.98917,126,8.348371,0.07107448,71.074524,89.285,0.25927144,0.17695865,0.0,0.027838267,0.5973165,0.0,0.002157715,0.0012868455,0.0,1.0439995E-4,0.0018457094,0.12873733,0.0,41.138046,0.013548224,0.044298515,-18.195301,-18.7589,-19.298412,-19.756983,-21.054611,99.0,99.0,99.0,99.0,99.0,-18.140696,-18.71406,-19.262178,-19.730618,-21.046894,5.142785,313
2000425000066,2000425000100,2000425000065,2000425000055,62000200001819,62000200001819,2000425000000,2000425000067,-1,0,62,0.019932542,8.348371,9881,37.377136,38.317028,22.672276,115198,4,4,2,315.94574,-225.81097,192.21782,132,8.348371,0.07071683,71.25403,83.35773,0.26621792,0.17554751,0.0,0.026282074,0.59567386,0.0,0.0021556166,0.0012752723,0.0,7.122268E-5,0.0018182872,0.10214458,0.0,41.0326,0.013930947,0.038373712,-18.273108,-18.83046,-19.364483,-19.819546,-21.11915,99.0,99.0,99.0,99.0,99.0,-18.21988,-18.786798,-19.329218,-19.79389,-21.111639,4.9196215,826
2000425000067,2000425000100,2000425000066,2000425000056,61000200001783,61000200001783,2000425000000,2000425000068,-1,0,61,0.041403063,8.176239,9881,37.320694,38.371857,22.63263,115198,4,4,2,319.48712,-223.41597,199.53027,133,8.176239,0.06983737,70.95824,77.08951,0.18202808,0.17437504,0.0,0.07406665,0.6077989,0.0,0.0019221911,0.0012659068,0.0,1.9958377E-4,0.0018710091,0.0,0.0,41.728756,0.014098986,0.06530817,-18.323515,-18.890554,-19.423697,-19.881302,-21.196703,99.0,99.0,99.0,99.0,99.0,-18.269241,-18.845753,-19.38741,-19.854877,-21.188961,4.676088,382
2000425000068,2000425000100,2000425000067,2000425000057,60000200001894,60000200001894,2000425000000,2000425000069,-1,0,60,0.064493395,8.004107,9881,37.24804,38.418194,22.578552,115198,4,4,2,324.9961,-217.51895,207.60304,118,8.004107,0.068919145,70.673485,82.32726,0.17579573,0.17437504,0.0,0.0,0.6780994,0.0,0.0019053667,0.0012659068,0.0,0.0,0.0020874173,0.66492724,0.0,0.0,0.004643585,0.068919145,-18.986343,-19.361824,-19.801552,-20.202282,-21.421618,99.0,99.0,99.0,99.0,99.0,-18.49549,-18.958569,-19.47343,-19.96012,-21.34789,4.3882394,503
2000425000069,2000425000100,2000425000068,2000425000058,59000200001952,59000200001952,2000425000000,2000425000070,-1,0,59,0.08928783,7.573779,9881,37.165718,38.47258,22.52471,115198,4,4,2,328.55444,-219.12018,212.98615,116,7.573779,0.067204885,69.6187,75.410225,0.23492737,0.16609366,0.0,2.6646932E-4,0.62724924,0.0,0.0020467856,0.0011858195,0.0,8.8597017E-7,0.0015902242,0.1515875,0.0,38.049976,0.011909341,0.0040431395,-18.6946,-19.147882,-19.616114,-20.030699,-21.262419,99.0,99.0,99.0,99.0,99.0,-18.630747,-19.09539,-19.57366,-19.999783,-21.253342,4.2997403,160
2000425000070,2000425000100,2000425000069,2000425000059,58000200002027,58000200002027,2000425000000,2000425000071,-1,0,58,0.11588337,7.573779,9882,37.07207,38.514404,22.467083,115191,4,4,2,332.09872,-210.00725,225.03844,108,7.573779,0.06670615,69.87846,75.77354,0.24890001,0.16413677,0.0,0.0,0.6164757,0.0,0.0020626348,0.0011692109,0.0,0.0,0.0014921138,0.5795526,0.0,0.0,0.0068586264,0.06670615,-19.161411,-19.485283,-19.877724,-20.247362,-21.395153,99.0,99.0,99.0,99.0,99.0,-18.95474,-19.315365,-19.740011,-20.146578,-21.365076,4.0388465,927
2000425000071,2000425000100,2000425000070,2000425000060,57000200002129,57000200002129,2000425000000,2000425000072,-1,0,57,0.14438343,7.7459106,9882,36.974865,38.574654,22.404324,115187,4,4,2,334.01535,-206.79468,233.33243,100,7.7459106,0.06665943,70.69283,77.207466,0.30410236,0.15640573,0.0,0.0,0.56900454,0.0,0.0020727052,0.0011113054,0.0,0.0,0.0011330524,1.5620251,0.0,0.0,0.0044273487,0.06665943,-19.593735,-19.82199,-20.155886,-20.4907,-21.562208,99.0,99.0,99.0,99.0,99.0,-19.085676,-19.4053,-19.816818,-20.23898,-21.482008,3.909577,334
2000425000072,2000425000100,2000425000071,2000425000061,56000200002038,56000200002038,2000425000000,2000425000073,-1,0,56,0.17489761,7.659845,9882,36.883408,38.63587,22.339735,115187,4,4,2,338.26794,-204.34454,237.30595,109,7.659845,0.06581664,70.74766,85.319145,0.45735958,0.13494219,0.0,0.0,0.43721098,0.0,0.0017515548,0.0010008386,0.0,0.0,4.350087E-4,1.213456,0.0,0.0,0.007476534,0.06581664,-19.338018,-19.560835,-19.894285,-20.23307,-21.311424,99.0,99.0,99.0,99.0,99.0,-19.231043,-19.473942,-19.824516,-20.182247,-21.29629,4.1728163,929
2000425000073,2000425000100,2000425000072,2000425000062,55000200001926,55000200001926,2000425000000,2000425000074,-1,0,55,0.20754863,7.9180417,9882,36.777336,38.70371,22.271265,115187,4,4,2,342.78207,-195.04288,239.18944,114,7.9180417,0.0658939,71.88797,85.94493,0.5796351,0.11781761,0.0,0.0,0.33206007,0.0,0.0012118687,9.514781E-4,0.0,0.0,1.2276195E-4,0.9690348,0.0,0.0,0.004015997,0.0658939,-19.46433,-19.591312,-19.872574,-20.154053,-21.160484,99.0,99.0,99.0,99.0,99.0,-19.258497,-19.427711,-19.743414,-20.060656,-21.133045,4.414323,384
2000425000074,2000425000100,2000425000073,2000425000063,54000200001891,54000200001891,2000425000000,2000425000075,-1,0,54,0.24246909,8.778699,9882,36.665768,38.769783,22.204144,115187,4,4,2,342.75296,-194.13388,247.46616,119,8.778699,0.06746511,74.80755,80.01207,0.100816466,0.10381422,0.0,0.9549821,0.0,0.0,6.400977E-4,9.0899033E-4,0.0,0.0,0.0,0.0,0.0,42.713776,0.012613329,0.03910721,-17.38287,-18.042252,-18.629387,-19.129812,-20.53768,99.0,99.0,99.0,99.0,99.0,-17.367401,-18.029495,-18.619066,-19.122305,-20.535484,4.648181,229
