haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
7000055000072,13000700000039,7000055000073,7000055000000,13,9.277915,7000055000073,-1,7000055000071,7000055000072,-1,28,0.86065674,0.86065674,0.86065674,32114,3.616059,9.928991,31.82517,132121,0,1,3,-68.037964,-81.612076,26.995243,61.234516,98.108,0.05070939,0.054386612,0.06058836,19291574,7,39,0.01172541,986
7000055000073,12000700000019,7000055000073,7000055000000,12,10.073462,-1,-1,7000055000072,7000055000073,-1,23,0.0,0.0,0.0,32114,3.5099344,10.048761,31.78327,132121,0,1,3,-64.21877,-79.956924,30.916405,49.05401,83.026054,0.01631076,-0.004662321,0.08130928,19291574,7,19,0.0068212794,286
7000055000074,17000700000475,7000055000076,7000055000000,17,6.7115865,7000055000075,-1,7000055000067,7000055000074,-1,24,1.9795104,1.9795104,1.9795104,32113,3.476885,9.704217,31.849094,132107,0,1,3,-155.96019,-46.43273,15.197079,75.56728,121.385666,0.115084045,-0.117016174,-0.04903089,19288925,7,475,0.0039493693,914
7000055000075,16000700000331,7000055000076,7000055000000,16,7.272188,7000055000076,-1,7000055000074,7000055000075,-1,22,0.774591,0.774591,0.774591,32113,3.5620658,9.72419,31.879581,132107,0,1,3,-142.49957,-47.04573,24.349188,58.26654,82.91332,0.107042335,-0.103520185,-0.0119562615,19288924,7,331,0.008406931,552
7000055000076,15000700000196,7000055000076,7000055000000,15,7.8832035,-1,-1,7000055000075,7000055000076,-1,20,0.0,0.0,0.0,32114,3.6436312,9.822365,31.839273,132121,0,1,3,-141.99567,-54.935856,39.192265,47.40938,78.00482,0.16445392,-0.19595669,-0.056178335,19288924,7,196,0.007767504,437
7000055000077,19000700000117,7000055000081,7000055000000,19,5.7238646,7000055000078,-1,7000055000065,7000055000077,-1,94,6.282794,6.282794,6.540991,32113,3.4227383,9.603992,31.7375,132107,0,1,3,-123.70984,85.957596,15.439685,81.63919,139.51118,0.16016155,0.1819622,0.12558717,19289148,7,117,0.009389537,220
7000055000078,18000700000085,7000055000081,7000055000000,18,6.1968336,7000055000079,-1,7000055000077,7000055000078,-1,91,4.0450864,4.0450864,4.217218,32113,3.4677973,9.554709,31.727982,132107,0,1,3,-94.65385,74.927124,-0.648126,72.24922,131.43523,0.09865776,0.12269011,0.08644289,19291368,7,85,0.012005148,488
7000055000079,17000700000164,7000055000081,7000055000000,17,6.7115865,7000055000080,-1,7000055000078,7000055000079,-1,45,2.7541015,2.7541015,2.9262328,32113,3.5013776,9.516652,31.689875,132107,0,1,3,-82.043015,58.153614,6.7813067,58.58389,106.21307,0.04930583,-0.07455053,0.13169618,19289147,7,164,0.00865644,476
7000055000080,16000700000234,7000055000081,7000055000000,16,7.272188,7000055000081,-1,7000055000079,7000055000080,-1,28,0.9467224,0.9467224,0.9467224,32113,3.5346713,9.436546,31.707796,132107,0,1,3,-55.57266,74.733574,15.255791,53.802692,86.972145,0.060845017,-0.03631845,-0.0019616107,19291385,7,234,0.008328512,542
7000055000081,15000700000090,7000055000081,7000055000000,15,7.8832035,-1,-1,7000055000080,7000055000081,-1,37,0.9467224,0.9467224,1.032788,32113,3.5921707,9.412293,31.724937,132107,0,1,3,-75.32875,56.769978,-16.458967,50.79808,82.6215,0.11782643,0.19197237,0.09406838,19289133,7,90,0.012526235,864
7000055000082,21000700000014,7000055000082,7000055000000,21,4.888449,-1,-1,7000055000041,7000055000042,-1,45,0.0,0.0,0.0,32113,3.1630301,9.659459,31.675486,132107,0,1,3,74.71933,9.263727,188.08604,86.481125,122.840164,0.033759188,-0.011060434,0.016434977,19290966,7,14,0.0065587787,559
7000055000083,22000700001482,7000055000085,7000055000000,22,4.5195556,7000055000084,7000055000086,7000055000040,7000055000083,-1,24,2.4959044,2.4959044,2.4959044,32113,3.4954324,9.4596815,31.899511,132107,0,1,3,-238.52748,145.67865,40.86388,59.417236,104.40495,0.13273484,-0.0048066657,-0.060890567,19289182,7,1482,0.0055664657,457
7000055000084,21000700000232,7000055000085,7000055000000,21,4.888449,7000055000085,-1,7000055000083,7000055000084,-1,34,2.6680357,2.5819702,2.840167,32113,3.6080654,9.397417,31.877472,132107,0,1,3,-217.70026,112.75112,59.45407,47.22099,89.025826,0.06610034,-7.8194233E-4,0.079530396,19289224,7,232,0.010404019,807
7000055000085,20000700001244,7000055000085,7000055000000,20,5.2888336,-1,-1,7000055000084,7000055000085,-1,20,1.2049193,1.2049193,1.2049193,32113,3.7130477,9.323884,31.856722,132107,0,1,3,-172.67413,84.207275,61.8096,36.556118,73.84985,0.08097631,0.0027212186,-0.07485565,19289175,7,1244,0.007825005,799
7000055000086,22000700000016,7000055000091,7000055000000,22,4.5195556,7000055000087,-1,7000055000040,7000055000041,-1,23,0.0,0.0,0.0,32113,3.1460721,9.365156,31.946085,132107,0,1,3,99.76236,195.82906,-156.37057,49.04089,87.60782,0.060716614,-0.01648744,0.07080802,19290890,7,16,0.0068248915,438
7000055000087,21000700000656,7000055000091,7000055000000,21,4.888449,7000055000088,-1,7000055000086,7000055000087,-1,43,2.1516418,2.1516418,2.1516418,32113,3.0800934,9.263418,32.01532,132107,0,1,3,68.74865,150.53519,-124.98032,54.05669,88.16072,0.12628539,-0.025126146,0.05191471,19290890,7,656,0.0113589205,880
7000055000088,20000700000852,7000055000091,7000055000000,20,5.2888336,7000055000089,-1,7000055000087,7000055000088,-1,25,0.9467224,0.9467224,1.549182,32113,3.081778,9.212533,32.10036,132107,0,1,3,32.19586,123.92079,-112.81124,43.791996,78.96837,0.113505535,-0.026716921,0.02062461,19291441,7,852,0.009694498,745
7000055000089,19000700001016,7000055000091,7000055000000,19,5.7238646,7000055000090,-1,7000055000088,7000055000089,-1,21,1.549182,1.549182,1.549182,32113,3.0438035,9.14016,32.149033,132107,0,1,3,23.024317,102.73617,-93.01092,47.43083,81.9676,0.039805587,-0.043894336,-0.05683497,19290915,7,1016,0.007416963,335
7000055000090,18000700000858,7000055000091,7000055000000,18,6.1968336,7000055000091,-1,7000055000089,7000055000090,-1,20,1.032788,1.032788,1.032788,32113,3.0149326,9.081135,32.18619,132107,0,1,3,24.839052,84.48214,-85.35338,47.316242,80.58591,0.020727495,-0.037134144,-0.038956717,19290890,7,858,0.006708271,415
7000055000091,17000700000602,7000055000091,7000055000000,17,6.7115865,-1,-1,7000055000090,7000055000091,-1,21,1.4631164,1.4631164,1.4631164,32113,3.0397372,9.037188,32.21498,132107,0,1,3,25.702463,78.38149,-73.72446,53.92285,93.99494,0.21018206,-0.04719033,-0.040823907,19291203,7,602,0.005302084,169
7000055000092,23000700000015,7000055000102,7000055000000,23,4.1794686,7000055000093,-1,7000055000039,7000055000040,-1,46,0.0,0.0,0.0,32113,3.2305973,9.597296,31.772177,132107,0,1,3,239.90672,-59.487415,198.05135,111.70475,158.26991,0.060302764,-0.0018849188,0.024370609,391053,7,15,0.0045019435,927
7000055000093,22000700000015,7000055000102,7000055000000,22,4.5195556,7000055000094,-1,7000055000092,7000055000041,7000055000086,50,0.0,0.0,0.0,32113,3.0679998,9.691526,31.627666,132107,0,1,3,230.72849,-235.89435,174.96497,91.8608,148.24205,0.011213676,-0.02085222,0.062397074,391355,7,15,0.005104305,398
7000055000094,21000700000013,7000055000102,7000055000000,21,4.888449,7000055000095,-1,7000055000093,7000055000042,7000055000082,73,0.0,0.0,0.0,32114,2.984738,9.792673,31.578066,132121,0,1,3,123.95386,-169.05377,59.84651,86.89592,151.0162,0.023885451,-0.054894034,0.04416332,391307,7,13,0.0073975525,827
7000055000095,20000700000010,7000055000102,7000055000000,20,5.2888336,7000055000096,-1,7000055000094,7000055000043,7000055000065,222,0.0,0.0,0.0,32114,2.9431887,9.881099,31.567507,132121,0,1,3,97.12559,-124.49266,60.916687,108.282486,172.67523,-0.19304995,-0.072564505,-0.27984655,391307,7,10,0.014151527,174
7000055000096,19000700000039,7000055000102,7000055000000,19,5.7238646,7000055000097,-1,7000055000095,7000055000096,-1,204,17.385265,17.2992,17.987726,32114,2.8809695,9.910486,31.541073,132120,0,1,3,66.092155,-109.6234,30.462635,118.79016,191.99068,0.24431317,-0.051530723,-0.08063124,19291941,7,39,0.011908126,559
7000055000097,18000700000036,7000055000102,7000055000000,18,6.1968336,7000055000098,-1,7000055000096,7000055000097,-1,177,13.942638,13.942638,14.889361,32114,2.848075,9.98063,31.529125,132120,0,1,3,45.40152,-90.78651,37.76511,117.72241,188.23978,0.2630835,-0.08022853,-0.0024119706,19291941,7,36,0.0099090105,175
7000055000098,17000700000028,7000055000102,7000055000000,17,6.7115865,7000055000099,-1,7000055000097,7000055000098,-1,158,10.327881,10.155749,10.586078,32114,2.89038,10.008438,31.507404,132120,0,1,3,39.637417,-87.39601,42.52082,104.66912,167.55856,0.30069962,0.05227222,-0.1248111,391003,7,28,0.011078945,686
7000055000099,16000700000023,7000055000102,7000055000000,16,7.272188,7000055000100,-1,7000055000098,7000055000099,-1,128,4.5614805,4.5614805,5.4221373,32114,2.8683214,10.056769,31.523228,132120,0,1,3,41.601524,-81.76057,39.56261,87.34648,138.17587,0.18353403,-0.04248116,-0.19053072,19291947,7,23,0.012847823,756
7000055000100,15000700000051,7000055000101,7000055000000,15,7.8832035,7000055000101,7000055000102,7000055000099,7000055000100,-1,51,2.3237731,2.3237731,2.4959044,32114,2.9140182,10.119469,31.534267,132120,0,1,3,-9.991478,-99.688034,17.176624,72.57387,120.5101,-0.09393484,0.030369828,0.029622503,391004,7,51,0.0070453887,962
7000055000101,14000700000086,7000055000101,7000055000000,14,8.549912,-1,-1,7000055000100,7000055000101,-1,27,2.1516418,2.1516418,2.1516418,32114,2.9053278,10.188249,31.511505,132120,0,1,3,-30.896389,-124.353714,45.445965,67.97586,115.093666,-0.016172647,0.033568136,-0.011653842,19291594,7,86,0.0045713154,998
7000055000102,15000700000165,7000055000102,7000055000000,15,7.8832035,-1,-1,7000055000099,7000055000102,-1,25,1.2049193,1.2049193,1.2049193,32114,2.7173674,10.043361,31.39399,132120,0,1,3,105.46322,17.97674,37.38741,47.390682,92.3661,0.01862609,-0.003120156,0.013973544,391267,7,165,0.0064532836,304
7000055000103,23000000001124,7000055000103,7000055000000,23,4.1794686,-1,7000055000104,7000055000038,7000055000103,-1,24,1.6352477,1.6352477,1.8073791,32113,3.145194,9.349604,31.293798,132107,0,1,3,114.497086,120.94128,209.62877,40.010406,73.91199,0.045486156,-0.04151459,0.101893656,391596,0,1124,0.011017374,166
7000055000104,24000700000951,7000055000106,7000055000000,24,3.8656828,7000055000105,-1,7000055000038,7000055000104,-1,34,3.9590209,3.9590209,3.9590209,32113,3.3664353,9.36924,31.57098,132107,0,1,3,-313.8638,-31.591845,162.8295,60.480247,88.09422,0.017995076,0.046940703,-0.05321192,394064,7,951,0.009497606,278
